"Year"	"Accuracy@1"	"Accuracy@5"	"Accuracy@10"	"Accuracy@1_new"	"Accuracy@5_new"	"Accuracy@10_new"	"OOV"	"New_pairs"
2011	0.5	0.5	0.5384615385	0	0	0	0	0.4230769231
2012	0.5384615385	0.5769230769	0.5769230769	0	0	0	0	0.3846153846
2013	0.4857142857	0.6	0.6285714286	0	0	0.0714285714	0	0.4
2014	0.4166666667	0.6388888889	0.6388888889	0.0714285714	0.1428571429	0.1428571429	0	0.3888888889
2015	0.375	0.5208333333	0.5625	0.0952380952	0.1904761905	0.2857142857	0	0.4375
2016	0.3333333333	0.5416666667	0.5416666667	0	0.0666666667	0.0666666667	0	0.3125
2017	0.4444444444	0.5185185185	0.5555555556	0.0909090909	0.1363636364	0.1363636364	0	0.4074074074
Average	0.4419457527	0.5566900692	0.5775095936	0.0367965368	0.0766233766	0.1004329004	0	0.3934269434
